,place_id,name,lat,lng,rating,user_ratings_total,price_level,formatted_address,global_code,compound_code,planning_area,brand,establishment,point_of_interest,store,food,health,restaurant,hospital,lodging,finance,cafe,convenience_store,clothing_store,atm,shopping_mall,grocery_or_supermarket,home_goods_store,school,bakery,beauty_salon,transit_station,place_of_worship,pharmacy,meal_takeaway,furniture_store,tourist_attraction,secondary_school,supermarket,doctor,shoe_store,dentist,jewelry_store,church,bank,primary_school,electronics_store,gym,spa,car_repair,pet_store,bus_station,university,park,general_contractor,subway_station,real_estate_agency,florist,hair_care,department_store,hardware_store,car_dealer,veterinary_care,travel_agency,bicycle_store,book_store,laundry,plumber,meal_delivery,lawyer,parking,mosque,physiotherapist,art_gallery,insurance_agency,bar,museum,storage,movie_theater,moving_company,liquor_store,gas_station,electrician,car_rental,locksmith,car_wash,post_office,embassy,night_club,fire_station,amusement_park,library,hindu_temple,local_government_office,funeral_home,bowling_alley,cemetery,aquarium,roofing_contractor,stadium,painter,courthouse,drugstore,campground,accounting,airport,zoo,casino,synagogue,premise,taxi_stand,police,light_rail_station,city_hall,train_station,natural_feature,subpremise,SUBZONE_NO,SUBZONE_N,SUBZONE_C,PLN_AREA_N,PLN_AREA_C,REGION_N,REGION_C
0,ChIJ01fgzLUe2jERxlhvImcbZ7g,Quayside Isle,1.2476808,103.8420723,4.3,568.0,,"31 Ocean Way, Singapore 098375",6PH56RXR+3R,6RXR+3R Singapore,Southern Islands,,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,SENTOSA,SISZ01,SOUTHERN ISLANDS,SI,CENTRAL REGION,CR
1,ChIJ1S4qfY8Q2jERgb68gskzUbo,Sime Darby Centre,1.3366443,103.7835965,3.7,437.0,,"896 Dunearn Rd, Singapore 589472",6PH58QPM+MC,8QPM+MC Singapore,Bukit Timah,,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,SWISS CLUB,BTSZ02,BUKIT TIMAH,BT,CENTRAL REGION,CR
2,ChIJ1ZAIkrwZ2jERxtZGC1JnrHM,PoMo,1.3001916999999998,103.84922,3.8,1285.0,,"1 Selegie Rd, Singapore 188306",6PH58R2X+3M,8R2X+3M Singapore,Rochor,,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,8,SELEGIE,RCSZ08,ROCHOR,RC,CENTRAL REGION,CR
3,ChIJ1ZYJOiAZ2jER1mvQqHstQII,LR boulangerie,1.2931776,103.8271938,4.3,12.0,,"491 River Valley Rd, #01-02 valley point shopping center, Singapore 248371",6PH57RVG+7V,7RVG+7V Singapore,Tanglin,,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,CHATSWORTH,TNSZ02,TANGLIN,TN,CENTRAL REGION,CR
4,ChIJ2Y1DYBI92jERlFUKKSznJrY,Tampines Hub,1.3531079,103.9403612,4.6,227.0,,"1 Tampines Walk, Singapore 528523",6PH59W3R+64,9W3R+64 Singapore,Tampines,,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3,TAMPINES WEST,TMSZ03,TAMPINES,TM,EAST REGION,ER
5,ChIJ34RyshcY2jERneNcLqsPK3o,City Plaza,1.3147643999999998,103.893408,3.8,1880.0,,"810 Geylang Rd, Singapore 409286",6PH58V7V+W9,8V7V+W9 Singapore,Geylang,,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5,GEYLANG EAST,GLSZ05,GEYLANG,GL,CENTRAL REGION,CR
6,ChIJ38pFVLEZ2jER0bD640NeLqs,Sultan Plaza,1.3030927,103.8619342,3.6,691.0,,"100 Jln Sultan, Singapore 199001",6PH58V36+6Q,8V36+6Q Singapore,Kallang,,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,9,CRAWFORD,KLSZ09,KALLANG,KL,CENTRAL REGION,CR
7,ChIJ3ShIxCc92jER20y0Rvqw-vc,N4 Neighbourhood Centre,1.3605239,103.9531662,4.2,137.0,,"Tampines Street 43, Singapore 520477",6PH59X63+67,9X63+67 Singapore,Tampines,,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,TAMPINES EAST,TMSZ02,TAMPINES,TM,EAST REGION,ER
8,ChIJ3Wd2xqEQ2jERF5qZP76srqY,Second Avenue Junction,1.3298712,103.7996164,3.7,27.0,,"Bukit Timah Rd, 733, Singapore 269748",6PH58QHX+WR,8QHX+WR Singapore,Bukit Timah,,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6,CORONATION ROAD,BTSZ06,BUKIT TIMAH,BT,CENTRAL REGION,CR
9,ChIJ3Zrkj1IQ2jER7alm3mrpVPQ,HillV2,1.3633540000000002,103.7643204,4.0,1719.0,,"4 Hillview Rise, Singapore 667979",6PH59Q77+8P,9Q77+8P Singapore,Bukit Batok,,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5,HILLVIEW,BKSZ05,BUKIT BATOK,BK,WEST REGION,WR
10,ChIJ3bgnoTE92jER9pU0y9B6pmc,Bluestarmobiles.com,1.3318464,103.9463496,3.8,745.0,,"430 Upper Changi Rd, #01-50 East Village, Singapore 487048",6PH58WJW+PG,8WJW+PG Singapore,Bedok,,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4,BEDOK NORTH,BDSZ04,BEDOK,BD,EAST REGION,ER
11,ChIJ4VaNqjkY2jER6ablrvwx_As,Guillemard Village,1.3099872,103.8823103,4.3,21.0,,"102 Guillemard Rd, Singapore 399719",6PH58V5J+XW,8V5J+XW Singapore,Geylang,,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4,ALJUNIED,GLSZ04,GEYLANG,GL,CENTRAL REGION,CR
12,ChIJ4xNBVeoB2jERKa-WgAPBBho,Snsexpress Shop,1.2462335,103.6146199,4.3,9.0,,"90 Tuas S Blvd, Singapore 637052",6PH56JW7+FR,6JW7+FR Singapore,Tuas,,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6,TUAS VIEW EXTENSION,TSSZ06,TUAS,TS,WEST REGION,WR
13,ChIJ58WuUbwP2jERmHrSoc33hp4,Sree Beauty & Bridal Services,1.3488912,103.6976302,3.9,1170.0,,"Gek Poh shopping centre Blk, 762 Jurong West Street 75, spore 640762",,8MXX+H3 Singapore,Jurong West,,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,8,YUNNAN,JWSZ08,JURONG WEST,JW,WEST REGION,WR
14,ChIJ58zgd34b2jERDEawXFNpWOE,NEWest,1.3164853,103.7573965,3.7,121.0,,"1 W Coast Dr, Newest, Singapore 128021",6PH58Q84+HX,8Q84+HX Singapore,Clementi,,True,True,True,True,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5,WEST COAST,CLSZ05,CLEMENTI,CL,WEST REGION,WR
